<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.04.04	20:15:00	3027.4	3027.91	3017.33	3018.55
2025.04.04	20:30:00	3018.14	3028.55	3015.85	3023.97
2025.04.04	20:45:00	3023.91	3026.54	3022.82	3025.82
2025.04.04	21:00:00	3025.82	3027.76	3022.31	3024.3
2025.04.04	21:15:00	3024.3	3025.61	3021.63	3024.61
2025.04.04	21:30:00	3025.09	3026.21	3021.66	3021.98
2025.04.04	21:45:00	3021.97	3026.07	3018.04	3025.56
2025.04.04	22:00:00	3025.56	3027.87	3022.15	3023.68
2025.04.04	22:15:00	3023.68	3034.73	3022.12	3028.65
2025.04.04	22:30:00	3028.65	3031.62	3027.86	3030.1
2025.04.04	22:45:00	3030.25	3040.96	3030.11	3036.46
2025.04.04	23:00:00	3036.48	3038.57	3033.89	3038.53
2025.04.04	23:15:00	3038.53	3041.07	3036	3038.18
2025.04.04	23:30:00	3038.18	3038.61	3035.77	3035.98
2025.04.04	23:45:00	3036	3038.75	3035.83	3038.48
2025.04.07	01:00:00	3008.7	3038.65	3004.71	3031.68
2025.04.07	01:15:00	3031.65	3031.96	2999.04	3015.11
2025.04.07	01:30:00	3015.11	3021.74	3007.64	3016.82
2025.04.07	01:45:00	3016.76	3017.77	3004.53	3009.9
2025.04.07	02:00:00	3009.9	3017.15	3004.84	3009.15
2025.04.07	02:15:00	3008.96	3009	2983.72	2985.37
2025.04.07	02:30:00	2985.37	2990.61	2977.32	2987.5
2025.04.07	02:45:00	2987.5	3002.1	2984.28	2999.73
2025.04.07	03:00:00	2999.75	3009.43	2972.62	2981.83
2025.04.07	03:15:00	2981.74	2991.49	2976.08	2985.52
2025.04.07	03:30:00	2985.52	2992.82	2979.8	2982.88
2025.04.07	03:45:00	2982.89	2988.73	2973.09	2979.04
2025.04.07	04:00:00	2979.04	3008.77	2972.25	3006.76
2025.04.07	04:15:00	3006.62	3020.87	3004.73	3019.23
2025.04.07	04:30:00	3019.27	3054.95	3016.53	3052.22
2025.04.07	04:45:00	3052.22	3054.97	3036.35	3038.35
2025.04.07	05:00:00	3038.66	3055.43	3036.32	3052.91
2025.04.07	05:15:00	3052.94	3053.67	3040.04	3042.42
2025.04.07	05:30:00	3042.43	3045.04	3027.36	3032.56
2025.04.07	05:45:00	3032.56	3035.87	3024.33	3025.93
2025.04.07	06:00:00	3025.85	3030.19	3021.76	3026.2
2025.04.07	06:15:00	3026.15	3031.31	3025.6	3029.92
2025.04.07	06:30:00	3029.6	3034	3026.03	3027.23
2025.04.07	06:45:00	3027.23	3029.02	3017.34	3019.02
2025.04.07	07:00:00	3019.04	3031.86	3019.02	3027.13
2025.04.07	07:15:00	3027.02	3030.47	3023.98	3026.48
2025.04.07	07:30:00	3026.61	3032.89	3025.19	3028.25
2025.04.07	07:45:00	3028.25	3035.84	3026.15	3035.71
2025.04.07	08:00:00	3035.66	3037.54	3024.96	3029.6
2025.04.07	08:15:00	3029.6	3040.17	3029.29	3038.84
2025.04.07	08:30:00	3038.84	3044.61	3034.04	3039.35
2025.04.07	08:45:00	3039.35	3043.49	3031.75	3031.82
2025.04.07	09:00:00	3031.79	3033.57	3022.34	3026.83
2025.04.07	09:15:00	3026.82	3028.09	3016.74	3018.51
2025.04.07	09:30:00	3018.59	3031.55	3018.59	3027.86
2025.04.07	09:45:00	3027.73	3030.77	3018.76	3029.38
2025.04.07	10:00:00	3029.84	3030.74	3013.37	3014.32
2025.04.07	10:15:00	3014.37	3027.48	3013.79	3019.12
2025.04.07	10:30:00	3019.05	3026.56	3019.05	3019.21
2025.04.07	10:45:00	3019.22	3029.1	3015.9	3018.64
2025.04.07	11:00:00	3018.79	3028.3	3017.99	3027.79
2025.04.07	11:15:00	3027.79	3029.71	3023.09	3023.41
2025.04.07	11:30:00	3023.4	3028.85	3020.98	3027.5
2025.04.07	11:45:00	3027.53	3035.49	3026.8	3031.15
2025.04.07	12:00:00	3031.61	3033.46	3025.71	3027.85
2025.04.07	12:15:00	3027.85	3027.85	3019.64	3026.71
2025.04.07	12:30:00	3026.77	3031.7	3023.86	3025.63
2025.04.07	12:45:00	3025.62	3028.68	3019.73	3025.05
2025.04.07	13:00:00	3025.02	3030.81	3024.12	3026.69
2025.04.07	13:15:00	3026.66	3033.29	3026.35	3032.64
2025.04.07	13:30:00	3032.64	3036.57	3031.86	3032.38
2025.04.07	13:45:00	3032.37	3036.47	3030.16	3031.39
2025.04.07	14:00:00	3031.39	3042.44	3031.16	3040.39
2025.04.07	14:15:00	3040.4	3044.05	3038.72	3040.36
2025.04.07	14:30:00	3040.4	3046.07	3038.85	3039.67
2025.04.07	14:45:00	3039.62	3040.38	3030.24	3031.17
2025.04.07	15:00:00	3031.47	3031.68	3025.18	3025.8
2025.04.07	15:15:00	3025.8	3031.48	3024.66	3026.62
2025.04.07	15:30:00	3026.6	3030.19	3014.9	3020.51
2025.04.07	15:45:00	3020.42	3032.8	3019.8	3031.35
2025.04.07	16:00:00	3031.26	3034.07	3024.64	3027.67
2025.04.07	16:15:00	3027.67	3030.35	3021.61	3024.71
2025.04.07	16:30:00	3024.63	3026.73	3002.34	3007.1
2025.04.07	16:45:00	3007.01	3019.14	3004.08	3015.57
2025.04.07	17:00:00	3015.44	3032.42	3011	3027.27
2025.04.07	17:15:00	3027.13	3038	3005.58	3008.95
2025.04.07	17:30:00	3008.76	3013.85	2997.34	3003.42
2025.04.07	17:45:00	3003.35	3009.2	2996.6	2999.33
2025.04.07	18:00:00	2999.51	3004.73	2983.97	2984.77
2025.04.07	18:15:00	2984.67	2998.97	2984.27	2987.01
2025.04.07	18:30:00	2987.13	2988.8	2981.37	2984.63
2025.04.07	18:45:00	2984.65	2988.23	2980.12	2987.64
2025.04.07	19:00:00	2987.64	2987.95	2977.39	2979.94
2025.04.07	19:15:00	2979.93	2985.4	2975.31	2977.98
2025.04.07	19:30:00	2977.83	2984.87	2975.08	2975.19
2025.04.07	19:45:00	2975.2	2975.7	2970.23	2970.71
2025.04.07	20:00:00	2970.97	2975.28	2959.73	2966.25
2025.04.07	20:15:00	2966.32	2970.84	2956.87	2959.04
2025.04.07	20:30:00	2958.94	2969.05	2956.67	2968.31
2025.04.07	20:45:00	2968.29	2973.76	2966.18	2970.21
2025.04.07	21:00:00	2970.19	2973.5	2969.42	2970.98
2025.04.07	21:15:00	2970.98	2974.12	2969.23	2969.82
2025.04.07	21:30:00	2969.88	2976.71	2968.66	2971.77
