<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	15:45:00	3226.56	3232.65	3223.92	3226.77	3675	0	7
2025.05.01	16:00:00	3226.85	3229.96	3221.14	3229.16	3337	0	7
2025.05.01	16:15:00	3229.14	3230.35	3221.08	3227.17	2902	0	7
2025.05.01	16:30:00	3227.26	3233.33	3220.38	3227.79	5131	0	7
2025.05.01	16:45:00	3227.39	3227.58	3218.86	3225.00	3723	0	7
2025.05.01	17:00:00	3223.76	3228.33	3214.45	3224.51	5569	0	7
2025.05.01	17:15:00	3224.52	3224.65	3214.39	3222.85	4757	0	7
2025.05.01	17:30:00	3222.80	3231.16	3220.91	3230.22	4080	0	7
2025.05.01	17:45:00	3230.22	3231.52	3218.55	3219.20	3257	0	7
2025.05.01	18:00:00	3219.20	3221.86	3217.46	3218.05	2908	0	7
2025.05.01	18:15:00	3218.05	3218.22	3213.72	3215.42	2998	0	7
2025.05.01	18:30:00	3215.44	3215.82	3206.06	3206.96	3066	0	7
2025.05.01	18:45:00	3207.08	3218.11	3205.02	3216.47	3217	0	7
2025.05.01	19:00:00	3216.47	3217.40	3209.04	3210.23	2881	0	7
2025.05.01	19:15:00	3210.23	3214.80	3209.51	3209.70	2573	0	7
2025.05.01	19:30:00	3209.69	3216.56	3209.69	3213.99	2369	0	7
2025.05.01	19:45:00	3213.99	3220.78	3213.99	3219.66	2293	0	7
2025.05.01	20:00:00	3219.71	3220.69	3216.54	3219.48	1990	0	7
2025.05.01	20:15:00	3219.48	3220.98	3214.13	3216.17	2396	0	7
2025.05.01	20:30:00	3216.17	3216.52	3209.88	3211.26	1981	0	7
2025.05.01	20:45:00	3211.26	3215.92	3210.16	3214.58	1765	0	7
2025.05.01	21:00:00	3214.58	3217.90	3212.95	3217.46	1349	0	7
2025.05.01	21:15:00	3217.46	3218.99	3214.83	3216.96	1738	0	7
2025.05.01	21:30:00	3216.97	3226.76	3216.40	3225.65	2375	0	7
2025.05.01	21:45:00	3225.65	3226.91	3223.71	3223.91	1387	0	7
2025.05.01	22:00:00	3223.91	3226.93	3223.91	3225.84	1340	0	7
2025.05.01	22:15:00	3225.84	3226.91	3224.36	3225.86	1090	0	7
2025.05.01	22:30:00	3225.86	3229.83	3224.87	3228.85	1513	0	7
2025.05.01	22:45:00	3228.87	3229.69	3225.56	3228.23	1897	0	7
2025.05.01	23:00:00	3228.42	3235.67	3228.12	3235.66	1396	0	7
2025.05.01	23:15:00	3235.72	3236.86	3230.27	3230.75	1004	0	7
2025.05.01	23:30:00	3230.67	3239.61	3230.18	3239.11	1049	0	7
2025.05.01	23:45:00	3239.11	3239.62	3234.85	3238.04	1129	0	14
2025.05.02	01:00:00	3238.75	3243.32	3235.41	3236.41	1088	0	7
2025.05.02	01:15:00	3236.41	3240.35	3235.69	3237.53	552	0	7
2025.05.02	01:30:00	3237.53	3237.66	3232.69	3235.92	1142	0	7
2025.05.02	01:45:00	3235.92	3239.09	3235.77	3237.99	712	0	7
2025.05.02	02:00:00	3237.99	3241.59	3236.91	3237.54	1002	0	7
2025.05.02	02:15:00	3237.54	3238.39	3235.96	3236.68	517	0	7
2025.05.02	02:30:00	3236.68	3238.85	3235.72	3238.75	529	0	7
